consumer,resource
species051,species001
species051,species002
species051,species003
species051,species004
species051,species005
species051,species006
species051,species007
species051,species008
species051,species009
species051,species010
species051,species011
species051,species012
species051,species013
species052,species001
species052,species002
species052,species003
species052,species004
species052,species005
species052,species006
species052,species007
species052,species008
species052,species009
species052,species010
species052,species011
species052,species012
species052,species013
species052,species014
species053,species001
species053,species002
species053,species003
species053,species004
species053,species005
species053,species006
species053,species007
species053,species008
species053,species009
species053,species010
species053,species011
species053,species012
species053,species013
species053,species014
species054,species001
species054,species002
species054,species003
species054,species004
species054,species005
species054,species006
species054,species007
species054,species008
species054,species009
species054,species010
species054,species011
species054,species012
species054,species013
species054,species014
species054,species015
species055,species001
species055,species002
species055,species003
species055,species004
species055,species005
species055,species006
species055,species007
species055,species008
species055,species009
species055,species010
species055,species011
species055,species012
species055,species013
species055,species014
species055,species015
species056,species001
species056,species002
species056,species003
species056,species004
species056,species005
species056,species006
species056,species007
species056,species008
species056,species009
species056,species010
species056,species011
species056,species012
species056,species013
species056,species014
species056,species015
species057,species001
species057,species002
species057,species003
species057,species004
species057,species005
species057,species006
species057,species007
species057,species008
species057,species009
species057,species010
species057,species011
species057,species012
species057,species013
species057,species014
species057,species015
species058,species001
species058,species002
species058,species003
species058,species004
species058,species005
species058,species006
species058,species007
species058,species008
species058,species009
species058,species010
species058,species011
species058,species012
species058,species013
species058,species014
species058,species015
species059,species001
species059,species002
species059,species003
species059,species004
species059,species005
species059,species006
species059,species007
species059,species008
species059,species009
species059,species010
species059,species011
species059,species012
species059,species013
species059,species014
species059,species015
species060,species001
species060,species002
species060,species003
species060,species004
species060,species005
species060,species006
species060,species007
species060,species008
species060,species009
species060,species010
species060,species011
species060,species012
species060,species013
species060,species014
species060,species015
species061,species001
species061,species002
species061,species003
species061,species004
species061,species005
species061,species006
species061,species007
species061,species008
species061,species009
species061,species010
species061,species011
species061,species012
species061,species013
species061,species014
species061,species015
species062,species001
species062,species002
species062,species003
species062,species004
species062,species005
species062,species006
species062,species007
species062,species008
species062,species009
species062,species010
species062,species011
species062,species012
species062,species013
species062,species014
species062,species015
species063,species001
species063,species002
species063,species003
species063,species004
species063,species005
species063,species006
species063,species007
species063,species008
species063,species009
species063,species010
species063,species011
species063,species012
species063,species013
species063,species014
species063,species015
species064,species001
species064,species002
species064,species003
species064,species004
species064,species005
species064,species006
species064,species007
species064,species008
species064,species009
species064,species010
species064,species011
species064,species012
species064,species013
species064,species014
species064,species015
species065,species001
species065,species002
species065,species003
species065,species004
species065,species005
species065,species006
species065,species007
species065,species008
species065,species009
species065,species010
species065,species011
species065,species012
species065,species013
species065,species014
species065,species015
species065,species016
species066,species001
species066,species002
species066,species003
species066,species004
species066,species005
species066,species006
species066,species007
species066,species008
species066,species009
species066,species010
species066,species011
species066,species012
species066,species013
species066,species014
species066,species015
species066,species016
species067,species001
species067,species002
species067,species003
species067,species004
species067,species005
species067,species006
species067,species007
species067,species008
species067,species009
species067,species010
species067,species011
species067,species012
species067,species013
species067,species014
species067,species015
species067,species016
species068,species001
species068,species002
species068,species003
species068,species004
species068,species005
species068,species006
species068,species007
species068,species008
species068,species009
species068,species010
species068,species011
species068,species012
species068,species013
species068,species014
species068,species015
species068,species016
species068,species017
species069,species001
species069,species002
species069,species003
species069,species004
species069,species005
species069,species006
species069,species007
species069,species008
species069,species009
species069,species010
species069,species011
species069,species012
species069,species013
species069,species014
species069,species015
species069,species016
species069,species017
species069,species051
species070,species001
species070,species002
species070,species003
species070,species004
species070,species005
species070,species006
species070,species007
species070,species008
species070,species009
species070,species010
species070,species011
species070,species012
species070,species013
species070,species014
species070,species015
species070,species016
species070,species017
species070,species051
species071,species001
species071,species002
species071,species003
species071,species004
species071,species005
species071,species006
species071,species007
species071,species008
species071,species009
species071,species010
species071,species011
species071,species012
species071,species013
species071,species014
species071,species015
species071,species016
species071,species017
species071,species018
species071,species051
species072,species001
species072,species002
species072,species003
species072,species004
species072,species005
species072,species006
species072,species007
species072,species008
species072,species009
species072,species010
species072,species011
species072,species012
species072,species013
species072,species014
species072,species015
species072,species016
species072,species017
species072,species018
species072,species051
species073,species001
species073,species002
species073,species003
species073,species004
species073,species005
species073,species006
species073,species007
species073,species008
species073,species009
species073,species010
species073,species011
species073,species012
species073,species013
species073,species014
species073,species015
species073,species016
species073,species017
species073,species018
species073,species051
species073,species052
species073,species053
species074,species001
species074,species002
species074,species003
species074,species004
species074,species005
species074,species006
species074,species007
species074,species008
species074,species009
species074,species010
species074,species011
species074,species012
species074,species013
species074,species014
species074,species015
species074,species016
species074,species017
species074,species018
species074,species051
species074,species052
species074,species053
species075,species001
species075,species002
species075,species003
species075,species004
species075,species005
species075,species006
species075,species007
species075,species008
species075,species009
species075,species010
species075,species011
species075,species012
species075,species013
species075,species014
species075,species015
species075,species016
species075,species017
species075,species018
species075,species051
species075,species052
species075,species053
species076,species001
species076,species002
species076,species003
species076,species004
species076,species005
species076,species006
species076,species007
species076,species008
species076,species009
species076,species010
species076,species011
species076,species012
species076,species013
species076,species014
species076,species015
species076,species016
species076,species017
species076,species018
species076,species019
species076,species051
species076,species052
species076,species053
species076,species054
species077,species002
species077,species003
species077,species004
species077,species005
species077,species006
species077,species007
species077,species008
species077,species009
species077,species010
species077,species011
species077,species012
species077,species013
species077,species014
species077,species015
species077,species016
species077,species017
species077,species018
species077,species019
species077,species051
species077,species052
species077,species053
species077,species054
species078,species003
species078,species004
species078,species005
species078,species006
species078,species007
species078,species008
species078,species009
species078,species010
species078,species011
species078,species012
species078,species013
species078,species014
species078,species015
species078,species016
species078,species017
species078,species018
species078,species019
species078,species051
species078,species052
species078,species053
species078,species054
species078,species055
species078,species056
species079,species004
species079,species005
species079,species006
species079,species007
species079,species008
species079,species009
species079,species010
species079,species011
species079,species012
species079,species013
species079,species014
species079,species015
species079,species016
species079,species017
species079,species018
species079,species019
species079,species020
species079,species021
species079,species051
species079,species052
species079,species053
species079,species054
species079,species055
species079,species056
species079,species057
species079,species058
species079,species059
species079,species060
species079,species061
species079,species062
species080,species004
species080,species005
species080,species006
species080,species007
species080,species008
species080,species009
species080,species010
species080,species011
species080,species012
species080,species013
species080,species014
species080,species015
species080,species016
species080,species017
species080,species018
species080,species019
species080,species020
species080,species021
species080,species051
species080,species052
species080,species053
species080,species054
species080,species055
species080,species056
species080,species057
species080,species058
species080,species059
species080,species060
species080,species061
species080,species062
species081,species004
species081,species005
species081,species006
species081,species007
species081,species008
species081,species009
species081,species010
species081,species011
species081,species012
species081,species013
species081,species014
species081,species015
species081,species016
species081,species017
species081,species018
species081,species019
species081,species020
species081,species021
species081,species022
species081,species051
species081,species052
species081,species053
species081,species054
species081,species055
species081,species056
species081,species057
species081,species058
species081,species059
species081,species060
species081,species061
species081,species062
species081,species063
species082,species005
species082,species006
species082,species007
species082,species008
