consumer,resource
species06,species01
species07,species01
species08,species01
species08,species06
species09,species01
species09,species06
species09,species07
species09,species08
species10,species01
species10,species02
species10,species06
species10,species07
species10,species08
species11,species02
species11,species06
species11,species07
species11,species08
species11,species09
species12,species02
species12,species03
species12,species06
species12,species07
species12,species08
species12,species09
species12,species10
species13,species02
species13,species03
species13,species07
species13,species08
species13,species09
species13,species10
species13,species11
species14,species02
species14,species03
species14,species07
species14,species08
species14,species09
species14,species10
species14,species11
species15,species02
species15,species03
species15,species07
species15,species08
species15,species09
species15,species10
species15,species11
species16,species02
species16,species03
species16,species07
species16,species08
species16,species09
species16,species10
species16,species11
species17,species02
species17,species03
species17,species04
species17,species09
species17,species10
species17,species11
species17,species12
species17,species13
species17,species14
species17,species15
species18,species03
species18,species04
species18,species05
species18,species09
species18,species10
species18,species11
species18,species12
species18,species13
species18,species14
species18,species15
species18,species16
species19,species03
species19,species04
species19,species05
species19,species11
species19,species12
species19,species13
species19,species14
species19,species15
species19,species16
species19,species17
species20,species04
species20,species05
species20,species11
species20,species12
species20,species13
species20,species14
species20,species15
species20,species16
species20,species17
species20,species18
species21,species05
species21,species13
species21,species14
species21,species15
species21,species16
species21,species17
species21,species18
species21,species19
species21,species20
species22,species05
species22,species16
species22,species17
species22,species18
species22,species19
species22,species20
species23,species17
species23,species18
species23,species19
species23,species20
species24,species17
species24,species18
species24,species19
species24,species20
species24,species21
species25,species17
species25,species18
species25,species19
species25,species20
species25,species21
species26,species18
species26,species19
species26,species20
species26,species21
species26,species22
species27,species19
species27,species20
species27,species21
species27,species22
species27,species23
species27,species24
species27,species25
species28,species20
species28,species21
species28,species22
species28,species23
species28,species24
species28,species25
species28,species26
species29,species20
species29,species21
species29,species22
species29,species23
species29,species24
species29,species25
species29,species26
species30,species20
species30,species21
species30,species22
species30,species23
species30,species24
species30,species25
species30,species26
species31,species21
species31,species22
species31,species23
species31,species24
species31,species25
species31,species26
species31,species27
species32,species21
species32,species22
species32,species23
species32,species24
species32,species25
species32,species26
species32,species27
species33,species21
species33,species22
species33,species23
species33,species24
species33,species25
species33,species26
species33,species27
species33,species28
species33,species29
species33,species30
species34,species26
species34,species27
species34,species28
species34,species29
species34,species30
species34,species31
species34,species32
species34,species33
species35,species26
species35,species27
species35,species28
species35,species29
species35,species30
species35,species31
species35,species32
species35,species33
species36,species27
species36,species28
species36,species29
species36,species30
species36,species31
species36,species32
species36,species33
species37,species27
species37,species28
species37,species29
species37,species30
species37,species31
species37,species32
species37,species33
species38,species27
species38,species28
species38,species29
species38,species30
species38,species31
species38,species32
species38,species33
species39,species28
species39,species29
species39,species30
species39,species31
species39,species32
species39,species33
species39,species34
species39,species35
species40,species28
species40,species29
species40,species30
species40,species31
species40,species32
species40,species33
species40,species34
species40,species35
