consumer,resource
species11,species01
species11,species02
species11,species03
species11,species04
species11,species05
species12,species01
species12,species02
species12,species03
species12,species04
species12,species05
species13,species03
species13,species04
species13,species05
species13,species06
species13,species11
species13,species12
species14,species06
species14,species11
species14,species12
species14,species13
species15,species06
species15,species11
species15,species12
species15,species13
species16,species06
species16,species11
species16,species12
species16,species13
species17,species06
species17,species11
species17,species12
species17,species13
species18,species06
species18,species07
species18,species08
species18,species09
species18,species12
species18,species13
species18,species14
species18,species15
species19,species06
species19,species07
species19,species08
species19,species09
species19,species12
species19,species13
species19,species14
species19,species15
species20,species06
species20,species07
species20,species08
species20,species09
species20,species13
species20,species14
species20,species15
species20,species16
species20,species17
species21,species07
species21,species08
species21,species09
species21,species13
species21,species14
species21,species15
species21,species16
species21,species17
species21,species18
species21,species19
species22,species07
species22,species08
species22,species09
species22,species10
species22,species13
species22,species14
species22,species15
species22,species16
species22,species17
species22,species18
species22,species19
species22,species20
species23,species07
species23,species08
species23,species09
species23,species10
species23,species13
species23,species14
species23,species15
species23,species16
species23,species17
species23,species18
species23,species19
species23,species20
species24,species07
species24,species08
species24,species09
species24,species10
species24,species14
species24,species15
species24,species16
species24,species17
species24,species18
species24,species19
species24,species20
species24,species21
species25,species10
species25,species16
species25,species17
species25,species18
species25,species19
species25,species20
species25,species21
species25,species22
species25,species23
species26,species10
species26,species18
species26,species19
species26,species20
species26,species21
species26,species22
species26,species23
species26,species24
species27,species10
species27,species21
species27,species22
species27,species23
species27,species24
species27,species25
species28,species21
species28,species22
species28,species23
species28,species24
species28,species25
species28,species26
species29,species21
species29,species22
species29,species23
species29,species24
species29,species25
species29,species26
species30,species22
species30,species23
species30,species24
species30,species25
species30,species26
species30,species27
species31,species24
species31,species25
species31,species26
species31,species27
species31,species28
species31,species29
species32,species24
species32,species25
species32,species26
species32,species27
species32,species28
species32,species29
species33,species26
species33,species27
species33,species28
species33,species29
species33,species30
species33,species31
species33,species32
species34,species26
species34,species27
species34,species28
species34,species29
species34,species30
species34,species31
species34,species32
species35,species26
species35,species27
species35,species28
species35,species29
species35,species30
species35,species31
species35,species32
species36,species27
species36,species28
species36,species29
species36,species30
species36,species31
species36,species32
species37,species28
species37,species29
species37,species30
species37,species31
species37,species32
species37,species33
species37,species34
species37,species35
species38,species28
species38,species29
species38,species30
species38,species31
species38,species32
species38,species33
species38,species34
species38,species35
species38,species36
species39,species30
species39,species31
species39,species32
species39,species33
species39,species34
species39,species35
species39,species36
species40,species33
species40,species34
species40,species35
species40,species36
species40,species37
species40,species38
species40,species39
