consumer,resource
species201,species001
species201,species002
species201,species003
species201,species004
species201,species005
species201,species006
species201,species007
species201,species008
species201,species009
species201,species010
species201,species011
species201,species012
species201,species013
species201,species014
species201,species015
species201,species016
species201,species017
species201,species018
species201,species019
species201,species020
species201,species021
species201,species022
species201,species023
species201,species024
species201,species025
species201,species026
species201,species027
species201,species028
species201,species029
species201,species030
species201,species031
species201,species032
species201,species033
species201,species034
species201,species035
species201,species036
species201,species037
species201,species038
species201,species039
species201,species040
species201,species041
species201,species042
species201,species043
species201,species044
species201,species045
species201,species046
species201,species047
species201,species048
species201,species049
species201,species050
species201,species051
species201,species052
species201,species053
species201,species054
species201,species055
species202,species001
species202,species002
species202,species003
species202,species004
species202,species005
species202,species006
species202,species007
species202,species008
species202,species009
species202,species010
species202,species011
species202,species012
species202,species013
species202,species014
species202,species015
species202,species016
species202,species017
species202,species018
species202,species019
species202,species020
species202,species021
species202,species022
species202,species023
species202,species024
species202,species025
species202,species026
species202,species027
species202,species028
species202,species029
species202,species030
species202,species031
species202,species032
species202,species033
species202,species034
species202,species035
species202,species036
species202,species037
species202,species038
species202,species039
species202,species040
species202,species041
species202,species042
species202,species043
species202,species044
species202,species045
species202,species046
species202,species047
species202,species048
species202,species049
species202,species050
species202,species051
species202,species052
species202,species053
species202,species054
species202,species055
species202,species056
species202,species057
species203,species001
species203,species002
species203,species003
species203,species004
species203,species005
species203,species006
species203,species007
species203,species008
species203,species009
species203,species010
species203,species011
species203,species012
species203,species013
species203,species014
species203,species015
species203,species016
species203,species017
species203,species018
species203,species019
species203,species020
species203,species021
species203,species022
species203,species023
species203,species024
species203,species025
species203,species026
species203,species027
species203,species028
species203,species029
species203,species030
species203,species031
species203,species032
species203,species033
species203,species034
species203,species035
species203,species036
species203,species037
species203,species038
species203,species039
species203,species040
species203,species041
species203,species042
species203,species043
species203,species044
species203,species045
species203,species046
species203,species047
species203,species048
species203,species049
species203,species050
species203,species051
species203,species052
species203,species053
species203,species054
species203,species055
species203,species056
species203,species057
species203,species058
species204,species001
species204,species002
species204,species003
species204,species004
species204,species005
species204,species006
species204,species007
species204,species008
species204,species009
species204,species010
species204,species011
species204,species012
species204,species013
species204,species014
species204,species015
species204,species016
species204,species017
species204,species018
species204,species019
species204,species020
species204,species021
species204,species022
species204,species023
species204,species024
species204,species025
species204,species026
species204,species027
species204,species028
species204,species029
species204,species030
species204,species031
species204,species032
species204,species033
species204,species034
species204,species035
species204,species036
species204,species037
species204,species038
species204,species039
species204,species040
species204,species041
species204,species042
species204,species043
species204,species044
species204,species045
species204,species046
species204,species047
species204,species048
species204,species049
species204,species050
species204,species051
species204,species052
species204,species053
species204,species054
species204,species055
species204,species056
species204,species057
species204,species058
species204,species059
species204,species060
species205,species001
species205,species002
species205,species003
species205,species004
species205,species005
species205,species006
species205,species007
species205,species008
species205,species009
species205,species010
species205,species011
species205,species012
species205,species013
species205,species014
species205,species015
species205,species016
species205,species017
species205,species018
species205,species019
species205,species020
species205,species021
species205,species022
species205,species023
species205,species024
species205,species025
species205,species026
species205,species027
species205,species028
species205,species029
species205,species030
species205,species031
species205,species032
species205,species033
species205,species034
species205,species035
species205,species036
species205,species037
